1 | Warning | Имя начинается с маленькой буквы | | Лексический |
2 | Warning | Первое слово возможно не является именем существительным | | Лексический |
3 | Warning | Нет знака вопроса | | Лексический |
4 | Serious | Отсутствует подпись условия | | Лексический |
5 | Serious | Неподписанная альтернатива | | Лексический |
6 | Serious | Переход имеет подпись, не являясь условием или альтернативой | | Лексический |
7 | Serious | Диаграмма не содержит элементов | | Синтаксический |
8 | Fatal | В диаграмме больше одного начального состояния | | Синтаксический |
9 | Fatal | В диаграмме отсутствует финальное состояние | | Синтаксический |
10 | Fatal | В диаграмме отсутствует начальное состояние | | Синтаксический |
11 | Fatal | В диаграмме отсутствуют активности | | Синтаксический |
12 | Fatal | Элемент имеет больше одного выходящего перехода | | Синтаксический |
13 | Fatal | Условный переход не имеет альтернатив | | Синтаксический |
14 | Serious | Условный переход имеет всего одну альтернатива | | Синтаксический |
15 | Serious | Элемент имеет всего один входной переход | Использование таких элементов, как узел слияния и синхронизатор, подразумевает несколько входящих переходов | Синтаксический |
16 | Fatal | Отсутствует входящий переход | | Синтаксический |
17 | Fatal | Отсутствует выходящий переход | | Синтаксический |
18 | Warning | Элемент не принадлежит никакому участнику | Возможна ситуация, что элемент вышел за дорожки участников | Синтаксический |
19 | Serious | Имя не уникально | Имена участников, альтернативы одного условного оператора и имена активностей должны быть уникальны | Синтаксический |
20 | Fatal | Альтернативы ведут в один и тот же элемент | Альтернативы условного оператора подразумевают активацию различных процессов | Синтаксический |
21 | Fatal | Переход ведет не в активность, разветвитель или в условный переход | Разветвитель должен использоваться в паре с синхронизатором, поэтому после него не должно идти конечное состояние. Также не имеет смысла сразу же использовать синхронизатор | Синтаксический |
22 | Warning | Альтернатива ведет в условный переход | Последовательное использование условных операторов допускается, но не приветствуется | Синтаксический |
23 | Fatal | Возможно отсутствие синхронизатора | Синхронизатор и разветвитель должны использоваться в паре. Возможные  : бесконечный разветвитель (между синхронизатором и разветвителем используется условный переход, альтернатива, которого выходит за рамки взаимодействия между синхронизатором и разветвителем), отсутствует парный синхронизатор, синхронизатор не может быть активирован  | Синтаксический |
24 | Fatal | Тупик | Возникновение ситуации, когда процесс остановлен. Возможно имеется синхронизатор, который нельзя активировать | Синтаксический |
25 | Fatal | Возможно отсутствие синхронизатора | | Синтаксический |
26 | Fatal | Недостижимое конечное состояние. Возможно имеется синхронизатор, который невозможно активировать | | Синтаксический |
27 | Fatal | Отсутствует парный синхронизатор | | Синтаксический |
28 | Serious | Повторяется альтернатива | Альтернативы условного оператора не должны накладываться или повторяться | Семантический 
